"Fav","CPID","Payer Name","Eligibility RealtimePayer ID","Payer ID","Portal Avail","Claim Type","State","Connectivity Available (CS, E)","2nd Level Auth (CS, E)","Enrollment Required","2nd CL","C","R","E","CS","A","ARS","AR","Paper CPID","Claim Status Payer ID","Claim Status Portal ID","Eligibility Portal ID","Claim Insurance Type","Claim Surcharge Amount","Attachment Type","Attachment Delivery Method","CS Transmission Type","Must Submit Claims to CH","Remit Pass-through Fee"
"No","1000","SEAVIEW IPA","","SVIPA","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1000","OJAI VALLEY COMMUNITY MEDICAL GROUP\t","","SVIPA","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1002","ALABAMA BLUE CROSS MEDICARE ADVANTAGE","","00010BC","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Blue Cross/Blue Shield","",,"",,"",""
"No","1003","VIRGINIA PREMIER HEALTH PLANS\t","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER ELITE","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER ELITE PLUS (MLTSS)","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER MEDALLION 4","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER COMPLETE CARE","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER MEDICARE ADVANTAGE (MAPD)","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1003","VIRGINIA PREMIER MEDALLION 3","","VAPRM","","Institutional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1005","ALVARADO IPA","","MPM39","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1007","CENTRAL PENNSYLVANIA TEAMSTERS FUND","","23626","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1008","DIST 9 INTL ASSOC MACH & AERO WORKERS WEL & PEN","","MWELT","","Institutional","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1009","PREFERRED MEDICAL CLAIMS SERVICES","","21524","","Institutional","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1010","ASSOCIATED ADMINISTRATORS, LLC.","","13788","","Institutional","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1011","SOUTHERN BENEFIT ADMINISTRATORS INC.","","38242","","","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1014","TRANSAMERICA LIFE INSURANCE COMPANY IA, MD, PA","","TRP1E","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1016","CARECENTRIX CIGNA","","11346","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Medicaid","",,"",,"",""
"No","1017","CARECENTRIX HORIZON","","11348","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Medicaid","",,"",,"",""
"No","1019","MOLINA HEALTHCARE OF CALIFORNIA (ENCOUNTERS ONLY)","","33373","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1020","WPS OPTUM HEALTH","","95937","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1023","HEALTHTEAM ADVANTAGE","","88250","E:https://htaprovider.prod.healthaxis.net/login","Institutional","","N/A, P","N/A, N","R","No","Yes","Yes","Yes","No","No","No","No","4350","","","HTADV1","Commercial/HMO","",,"",,"",""
"No","1024","LITTLE COMPANY OF MARY HEALTH PROVIDERS","","LCM10","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1025","CONVERSION PLAN - APWU","","55544","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1026","TRELLIS HEALTH PARTNERS","","36397","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1027","AMERICAN HEALTH ADVANTAGE OF OKLAHOMA","","31125","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1029","PHYSICIANS HEALTH ASSOCIATES / MIDLAND MGMT","","37136","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1030","INDIVIDUAL ASSURANCE COMPANY","","30360","E:https://iaconlineapp.com/forms/policystatus","Institutional","","N/A, P","N/A, N","R","Yes","Yes","Yes","Yes","No","No","No","No","4350","","","IACO1","Commercial/HMO","",,"",,"",""
"No","1036","COLORADO COMMUNITY HEALTH ALLIANCE","","COCHA","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1037","LIFECIRCLES PACE","","71498","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1039","SOUTH COUNTRY HEALTH ALLIANCE","","81600","E:https://provider.mnscha.org/scha.provider.aspx","Institutional","","N/A, P","N/A, N","R","Yes","Yes","Yes","Yes","No","No","No","No","4350","","","SOCHA1","Commercial/HMO","",,"",,"",""
"No","1040","INSURANCE MANAGEMENT ADMINISTRATORS","","72091","E:https://www.enformed.com/provider-login.html","Institutional","","N/A, P","N/A, N"," ","No","Yes","No","Yes","No","No","No","No","4350","","","NTRST1","Commercial/HMO","",,"",,"",""
"No","1041","GMR HEALTH","","85664","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1042","ALLIANCE COAL HEALTH PLAN","","93658","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1043","CELTIC INSURANCE","","68063","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1044","BRAND NEW DAY","","UC001","E:https://aerial.carecoordination.medecision.com/ucipa/physician/logindefault.aspx","Institutional","","N/A, P","N/A, N"," ","No","Yes","No","Yes","No","No","No","No","4350","","","BRAND1","Commercial/HMO","",,"",,"",""
"No","1047","MSA CAREGUARD","","20572","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1048","HERITAGE VICTOR VALLEY MEDICAL GROUP","","30862","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1049","OSF HEALTHCARE CENTRAL","","OSFC9","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1050","MENTAL HEALTH CONSULTANTS INC.","","37050","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1052","CEDARS SINAI MEDICAL ENCOUNTER","","95167","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1053","MOLINA HEALTHCARE OF MISSISSIPPI","","77010","","Institutional","","E, N/A","N/A, N/A","R","Yes","Yes","Yes","No","Yes","No","No","No","4350","MLNMS","","","Medicaid","",,"","Real Time","",""
"No","1057","LACH HEALTHNET BY MEDPOINT","","MPM19","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1058","FENIX MEDICAL GROUP","","60818","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1059","ST. FRANCIS - HCLA BY MEDPOINT","","MPM30","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1060","SOUTHERN CA HEALTHCARE SYSTEM ALTA POD BY MEDPOINT","","MPM20","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1061","ADVENTIST WHITE MEMORIAL-CROWN CITY MEDICAL GROUP","","MPM33","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1062","YAMHILL COUNTY CCO (PHYSICAL HEALTH)","","77946","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"","0.0045"
"No","1063","MEDIVIEW TRAVIS COUNTY MAP","","UCMAP","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1065","SUPERIOR SELECT HEALTH PLAN","","61184","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1066","ICIRCLE CARE OF NEW YORK","","ICRCL","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1068","OPTUMCARE NETWORK OF CONNECTICUT","","E3287","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"No",""
"No","1069","ALEXIAN BROTHERS COMMUNITY SERVICES OF TENNESSEE","","44423","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1070","UFCW LOCAL 880 MEDICARE","","88008","","Institutional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4350","","","","Medicare","",,"",,"",""
"No","1071","ELDERWOOD HEALTH","","03964","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1072","OSF HEALTHCARE EAST","","OSFE9","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1077","IDEALCARE","","UV440","","Institutional","","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1083","TRANSAMERICA LIFE INSURANCE COMPANY - PLANO AND HU","","TRTLC","","Institutional","TX","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1087","SOLIDARITY HEALTHSHARE","","SH777","","Institutional","OH","N/A, N/A","N/A, N/A","R","No","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1088","EMPLOYEE BENEFIT SERVICES, INC. (EBSI)","","60221","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1089","PROGYNY","","PROGY","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1091","SGIC","","11789","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1092","GROUP BENEFIT SERVICES - MARYLAND","","CB951","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1094","UTMB CORRECTIONAL MANAGED CARE","","UTMBU","","Institutional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4350","","","","Commercial/HMO","0.1",,"",,"",""
"No","1097","FIRE DEPARTMENT CITY OF NEW YORK","","40043","","Institutional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4350","","","","Commercial/HMO","",,"",,"",""
"No","1099","FLORIDA COMMUNITY CARE","","FLCCR","E:https://secure.healthx.com/v3app/publicservice/loginv1/login.aspx?bc=16544617-390b-4625-9657-c7b235c09d3c&serviceid=df6f8096-64ea-498a-a657-7c7b407ae072","Institutional","","N/A, P","N/A, N","R","Yes","Yes","Yes","Yes","No","No","No","No","4350","","","FLCCR1","Commercial/HMO","",,"",,"",""
"No","1101","PROVIDENCE ADMINISTRATIVE SERVICES","","PAS01","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1102","KG ADMINISTRATIVE SERVICES","","KGA15","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1103","INTOTAL HEALTH","","35115","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","0.1",,"",,"",""
"No","1104","HUMANA LONG TERM CARE","","61115","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1105","HALCYON BEHAVIORAL HEALTH","","RP034","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1106","PINNACLE MEDICAL GROUP","","95271","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1107","INTEGRATED HEALTH PARTNERS (IHP)","","MPM26","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1108","MIDWEST HEALTH PARTNERS","","76079","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1109","THREE RIVERS PREFERRED","","MP340","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1110","FRESNO PACE","","99660","","Professional","","N/A, N/A","N/A, N/A"," ","No","No","No","No","No","No","No","No","4320","","","","","",,"",,"",""
"No","1111","PARTNERS HEALTH PLAN","","14966","E:https://php.healthsmart.com/login.aspx","Professional","","N/A, P","N/A, N"," ","No","Yes","No","Yes","No","No","No","No","4320","","","PRTNR1","Commercial/HMO","",,"",,"",""
"No","1112","PENN BEHAVIORAL HEALTH","","53226","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1113","EXCLUSIVE CARE","","EC999","","Professional","","N/A, N/A","N/A, N/A","C","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1113","EXCLUSIVE CARE - COUNTY OF RIVERSIDE","","EC999","","Professional","","N/A, N/A","N/A, N/A","C","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1114","SUMMIT ADMINISTRATION SERVICES, INC.","","86083","E:https://secure.healthx.com/v3app/publicservice/loginv1/login.aspx?bc=99c3542d-aeb4-47ab-81af-dc22b58886d7&serviceid=5e9df9fe-4a69-40d0-9024-5ab7088294f4","Professional","","N/A, P","N/A, N","C,R","No","Yes","Yes","Yes","No","No","No","No","4320","","","SMTAS1","Commercial/HMO","",,"",,"",""
"No","1115","NEW ERA EMPLOYEE WELFARE BENEFIT TRUST","","76031","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1117","HEALTHPLUS MANAGED LONG TERM CARE","","45302","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1118","KERN LEGACY HEALTH PLAN","","89890","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1119","EASY CHOICE HEALTH PLAN OF CA","","14163","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1120","COMMUNITY EYE CARE","","CEC","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1122","SOUTH ATLANTIC MEDICAL GROUP","","SAMG1","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1123","SOUTHWEST PHYSICIANS GROUP LTD","","SWPG1","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1124","ALL AMERICAN MEDICAL GROUP","","AAMG1","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","UNITED PHYSICIANS INTERNATIONAL (UPI)","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","ANGEL MEDICAL GROUP","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","SUPERIOR CHOICE MEDICAL GROUP","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","SOUTHERN CALIFORNIA CHILDRENS HEALTH CARE NETWORK","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","BEVERLY HOSPITAL - IMPERIAL HEALTH HOLDINGS","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1125","EASY CARE MSO LLC","","ECMSO","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1126","WILLOW HEALTH","","WHLTH","","Professional","","N/A, N/A","N/A, N/A","C","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1127","INSURANCE SYSTEMS, INC.","","11889","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1128","ALTERNATIVE RISK MANAGEMENT (ARM, LTD)","","63240","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1129","POINT COMFORT UNDERWRITERS","","PCU01","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1131","VALIR PACE","","48123","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1132","UCS (THE CITY OF EAST CHICAGO)","","56001","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1133","CHIROMETRICS","","33070","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1134","SANTE COMMUNITY PHYSICIANS MEDICAL GROUP CORP","","SNTMC","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1135","SELMAN TRICARE SUPPLEMENT","","TRSEL","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1136","PHYSICIANS OF SOUTHWEST WASHINGTON","","91171","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1137","SOUTH FLORIDA MUSCULOSKELETAL CARE","","06294","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1141","PROVIDENCE CARE NETWORK","","PROV1","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1142","PREMIER CARE IPA","","PCMSO","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1145","CHILDRENS PHYSICIANS MEDICAL GROUP","","RCHN1","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1145","RADY CHILDRENS HEALTH NETWORK","","RCHN1","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1145","PHYSICIANS MANAGEMENT GROUP","","RCHN1","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1146","SILVER STAR PACE","","97691","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1148","NORTH CAROLINA DEPARTMENT OF PUBLIC SAFETY","","74256","","Professional","","N/A, N/A","N/A, N/A","C","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
