billing_company,payer_id,name,abbreviation,insurance_company,ins_type,plan_type,address,apt_suite,country,zip,city,state,phone,mobile,fax,email,contact_name
MCC Medical Claims Consultants LLC,128FL,Aetna Better Health Of Florida,ABHOF,AETNA,CI - Commercial Insurance,CHIP,PO Box 982960,,US,79998,El Paso,TX,800-441-5501,,,,
MCC Medical Claims Consultants LLC,64158,Meritain Health / Agency Services,MHAS,Aetna,CI - Commercial Insurance,HMO,PO Box 853921 ,,US,75085, Richardson,TX,800-566-9311,,,,
MCC Medical Claims Consultants LLC,ASFL1,Align Senior Care Of Florida,ASCOF,Align Senior Care,CI - Commercial Insurance,HMO,PO Box 21593,,US,55121, Eagan,MN,844-788-3935,,,,
MCC Medical Claims Consultants LLC,77003,Amerihealth Caritas Florida,ACF,AmeriHealth Caritas,CI - Commercial Insurance,Medicaid,PO Box 7367,,US,40743,London,KY,800-617-5727,,,,
MCC Medical Claims Consultants LLC,59274,"Avmed, Inc.",AI,"Avmed, INC",CI - Commercial Insurance,HMO ,PO Box 569008 ,,US,33256,Miami,FL,800 - 452-8633,,,,
MCC Medical Claims Consultants LLC,BRGHT,Bright Healthcare ,BH,Bright Healthcare,CI - Commercial Insurance,HMO,PO Box 16275,,US,19612,Reading,PA,866-239-7191,,,,
MCC Medical Claims Consultants LLC,42140,Centurion Managed Care,CMC,Centurion Health,CI - Commercial Insurance,HMO,PO Box 4090,,US,63640,Farmington, MO ,844-243-0795,,,,
MCC Medical Claims Consultants LLC,59065,Community Care Plan (medicaid),CCP,Community Care Plan,CI - Commercial Insurance,HMO,PO Box 841309,,US,33084,Pembroke Pines,FL,866-899-4828,,,,
MCC Medical Claims Consultants LLC,BHPP1,Community Care Plan (broward Health Ppuc),CCPHP,Community Care Plan,CI - Commercial Insurance,HMO,PO Box 841209,,US,33084,Pembroke Pines,FL,866-259-4272,,,,
MCC Medical Claims Consultants LLC,DEVOT,Devoted Health,DH,Devoted Health,CI - Commercial Insurance,Medicare,PO Box 211524,,US,55121,Eagan,MN,877-762-3515,,,,
MCC Medical Claims Consultants LLC,DRHCP,Doctors Healthcare Plans,DHP,Doctor's Health Plan,CI - Commercial Insurance,HMO,Box 132 - 1825 Ponce De Leon Blvd,,US,33134,Coral Gables,FL,305-422-9300,,,,
MCC Medical Claims Consultants LLC,11315,Fidelis Care,FC,Fidelis Care,CI - Commercial Insurance,HMO,PO Box 806,,US,14226,Amherst,NY,888-343-3547,,,,
MCC Medical Claims Consultants LLC,11315,Wellcare By Fidelis Care,WBFC,Fidelis Care,CI - Commercial Insurance,HMO,PO Box 170,,US,14226,Amherst,NY,888-343-3547,,,,
MCC Medical Claims Consultants LLC,FLCCR,Florida Community Care,FCC,Florida Community Care,CI - Commercial Insurance,HMO,PO Box 211322,,US,55121,Eagan,MN,833-322-7526,,,,
MCC Medical Claims Consultants LLC,FLCPC,Florida Complete Care,FCC,Florida Complete Care,CI - Commercial Insurance,HMO,PO Box 10348,,US,32120,Daytona Beach,FL,800-352-9824,,,,
MCC Medical Claims Consultants LLC,FLPAC,Florida Pace Centers,FPC,Florida Pace Centers,CI - Commercial Insurance,Medicare,5200 NE 2nd Ave,,US,33137,Miami,FL,305-762-1385,,,,
MCC Medical Claims Consultants LLC,41212,Freedom Health,FH,Freedom Health,CI - Commercial Insurance,Medicare,PO Box 151348,,US,33684,Tampa,FL,800-401-2740,,,,
MCC Medical Claims Consultants LLC,62324,Freedom Life Insurance Company,FLIC,Freedom Life Insurance Company,CI - Commercial Insurance,HMO,PO Box 1628,,US,75001,Addison,TX ,800-387-9027,,,,
